directory,directory_path,directory_depth,file_name,file_path,file_size,file_extension,mime_type,lines_of_code,complexity_score,functions_classes_count,imports_count,patterns_count,last_modified
general,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\mariadb\general,7,show-internal-mariadb-credentials.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\mariadb\general\show-internal-mariadb-credentials.tsx,2278,.tsx,application/octet-stream,67,7,0,0,1,2025-08-28T21:21:28
mongo,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\mongo,6,update-mongo.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\mongo\update-mongo.tsx,3997,.tsx,application/octet-stream,156,16,0,0,1,2025-08-28T21:21:28
general,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\mongo\general,7,show-external-mongo-credentials.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\mongo\general\show-external-mongo-credentials.tsx,4759,.tsx,application/octet-stream,164,17,0,0,1,2025-08-28T21:21:28
general,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\mongo\general,7,show-general-mongo.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\mongo\general\show-general-mongo.tsx,7916,.tsx,application/octet-stream,254,26,0,0,1,2025-08-28T21:21:28
general,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\mongo\general,7,show-internal-mongo-credentials.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\mongo\general\show-internal-mongo-credentials.tsx,1835,.tsx,application/octet-stream,54,5,0,0,1,2025-08-28T21:21:28
container,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\free\container,8,docker-block-chart.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\free\container\docker-block-chart.tsx,2479,.tsx,application/octet-stream,98,10,0,0,1,2025-08-28T21:21:28
container,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\free\container,8,docker-cpu-chart.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\free\container\docker-cpu-chart.tsx,2001,.tsx,application/octet-stream,82,8,0,0,1,2025-08-28T21:21:28
container,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\free\container,8,docker-disk-chart.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\free\container\docker-disk-chart.tsx,2622,.tsx,application/octet-stream,100,10,0,0,1,2025-08-28T21:21:28
container,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\free\container,8,docker-memory-chart.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\free\container\docker-memory-chart.tsx,2215,.tsx,application/octet-stream,88,9,0,0,1,2025-08-28T21:21:28
container,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\free\container,8,docker-network-chart.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\free\container\docker-network-chart.tsx,2249,.tsx,application/octet-stream,94,9,0,0,1,2025-08-28T21:21:28
container,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\free\container,8,show-free-compose-monitoring.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\free\container\show-free-compose-monitoring.tsx,3364,.tsx,application/octet-stream,123,13,0,0,1,2025-08-28T21:21:28
container,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\free\container,8,show-free-container-monitoring.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\free\container\show-free-container-monitoring.tsx,8373,.tsx,application/octet-stream,288,31,0,0,1,2025-08-28T21:21:28
